year,author,title,average_rating,image_url,text
2008,"Nicholas D. Kristof, Sheryl WuDunn",Half the Sky: Turning Oppression into Opportunity for Women Worldwide,4.31,https://images.gr-assets.com/books/1320486170m/6260997.jpg,"Half the Sky: Turning Oppression into Opportunity for Women Worldwide Nicholas D. Kristof, Sheryl WuDunn"
2011,"Daniel Handler, Maira Kalman",Why We Broke Up,3.49,https://images.gr-assets.com/books/1348728685m/10798418.jpg,"Why We Broke Up Daniel Handler, Maira Kalman"
2014,Sarah J. Maas,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",4.48,https://images.gr-assets.com/books/1384362444m/18243700.jpg,"The Assassin's Blade (Throne of Glass, #0.1-0.5) Sarah J. Maas"
2008,Curtis Sittenfeld,American Wife,3.72,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,American Wife Curtis Sittenfeld
2006,Jim Butcher,"Cursor's Fury (Codex Alera, #3)",4.36,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Cursor's Fury (Codex Alera, #3) Jim Butcher"
1996,Mary Doria Russell,"The Sparrow (The Sparrow, #1)",4.17,https://images.gr-assets.com/books/1230829367m/334176.jpg,"The Sparrow (The Sparrow, #1) Mary Doria Russell"
1996,Jodi Picoult,Mercy,3.57,https://images.gr-assets.com/books/1299040130m/10910.jpg,Mercy Jodi Picoult
2014,Charlie N. Holmberg,"The Paper Magician (The Paper Magician Trilogy, #1)",3.63,https://images.gr-assets.com/books/1405618531m/20727654.jpg,"The Paper Magician (The Paper Magician Trilogy, #1) Charlie N. Holmberg"
2009,Steve Harvey,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment Steve Harvey"
2011,Candice Millard,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",4.19,https://images.gr-assets.com/books/1327883084m/10335318.jpg,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President Candice Millard"
1962,"Shirley Jackson, Jonathan Lethem",We Have Always Lived in the Castle,4.05,https://images.gr-assets.com/books/1415357189m/89724.jpg,"We Have Always Lived in the Castle Shirley Jackson, Jonathan Lethem"
2004,Emerson Eggerichs,Love and Respect: The Love She Most Desires; The Respect He Desperately Needs,4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Love and Respect: The Love She Most Desires; The Respect He Desperately Needs Emerson Eggerichs
2008,Michael Connelly,"The Brass Verdict (Harry Bosch, #14; Mickey Haller, #2; Harry Bosch Universe, #17)",4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Brass Verdict (Harry Bosch, #14; Mickey Haller, #2; Harry Bosch Universe, #17) Michael Connelly"
1992,Timothy Zahn,Dark Force Rising,4.14,https://images.gr-assets.com/books/1451092000m/216442.jpg,Dark Force Rising Timothy Zahn
2013,Lee Child,"Never Go Back (Jack Reacher, #18)",4.02,https://images.gr-assets.com/books/1467947214m/17262159.jpg,"Never Go Back (Jack Reacher, #18) Lee Child"
2001,Gail Carson Levine,The Two Princesses of Bamarre,4.02,https://images.gr-assets.com/books/1442734248m/183656.jpg,The Two Princesses of Bamarre Gail Carson Levine
1945,"Richard Wright, Jerry W. Ward Jr.",Black Boy,4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Black Boy Richard Wright, Jerry W. Ward Jr."
2001,Lalita Tademy,Cane River,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Cane River Lalita Tademy
2006,Terry Goodkind,"Phantom (Sword of Truth, #10)",3.99,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Phantom (Sword of Truth, #10) Terry Goodkind"
1986,Isaac Asimov,Foundation and Earth (Foundation #5),4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Foundation and Earth (Foundation #5) Isaac Asimov
2000,"James D. Bradley, Ron Powers",Flags of Our Fathers,4.18,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Flags of Our Fathers James D. Bradley, Ron Powers"
1926,"A.A. Milne, Ernest H. Shepard","The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)",4.43,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2) A.A. Milne, Ernest H. Shepard"
1940,Mahatma Gandhi,The Story of My Experiments With Truth,4.07,https://images.gr-assets.com/books/1320560971m/112803.jpg,The Story of My Experiments With Truth Mahatma Gandhi
1999,"Lance Armstrong, Sally Jenkins",It's Not About the Bike: My Journey Back to Life,3.72,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"It's Not About the Bike: My Journey Back to Life Lance Armstrong, Sally Jenkins"
1996,Stephen E. Ambrose,Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,4.22,https://images.gr-assets.com/books/1408925996m/45546.jpg,Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier Stephen E. Ambrose
2015,Helen Macdonald,H is for Hawk,3.74,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,H is for Hawk Helen Macdonald
2014,David Nicholls,Us,3.66,https://images.gr-assets.com/books/1406116779m/21423525.jpg,Us David Nicholls
1990,R.A. Salvatore,"Sojourn (Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt, #3)",4.23,https://images.gr-assets.com/books/1322861953m/66695.jpg,"Sojourn (Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt, #3) R.A. Salvatore"
2009,"Christopher Yost, Orson Scott Card, Pasqual Ferry, Frank D'Armata","Ender's Game, Volume 1: Battle School (Ender's Saga)",4.37,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Ender's Game, Volume 1: Battle School (Ender's Saga) Christopher Yost, Orson Scott Card, Pasqual Ferry, Frank D'Armata"
2006,"Karuho Shiina, Tomo Kimura","Kimi ni Todoke: From Me to You, Vol. 1",4.23,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Kimi ni Todoke: From Me to You, Vol. 1 Karuho Shiina, Tomo Kimura"
1999,Dean Koontz,False Memory,3.87,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,False Memory Dean Koontz
1990,Terry Pratchett,"Moving Pictures (Discworld, #10; Industrial Revolution, #1)",3.91,https://images.gr-assets.com/books/1320456553m/34510.jpg,"Moving Pictures (Discworld, #10; Industrial Revolution, #1) Terry Pratchett"
2011,C.J. Roberts,"Captive in the Dark (The Dark Duet, #1)",4.01,https://images.gr-assets.com/books/1315343569m/12513614.jpg,"Captive in the Dark (The Dark Duet, #1) C.J. Roberts"
1902,James Allen,As a Man Thinketh,4.29,https://images.gr-assets.com/books/1303439193m/81959.jpg,As a Man Thinketh James Allen
2008,Mary Roach,Bonk: The Curious Coupling of Science and Sex,3.83,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Bonk: The Curious Coupling of Science and Sex Mary Roach
2007,Rachel Caine,"Midnight Alley (The Morganville Vampires, #3)",4.11,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Midnight Alley (The Morganville Vampires, #3) Rachel Caine"
2013,"Nina George, Simon Pare",The Little Paris Bookshop,3.51,https://images.gr-assets.com/books/1412462018m/23278537.jpg,"The Little Paris Bookshop Nina George, Simon Pare"
2012,Ian McEwan,Sweet Tooth,3.4,https://images.gr-assets.com/books/1344373046m/13562049.jpg,Sweet Tooth Ian McEwan
2013,Abbi Glines,"Twisted Perfection (Rosemary Beach, #5; Perfection, #1)",4.26,https://images.gr-assets.com/books/1360904964m/17333880.jpg,"Twisted Perfection (Rosemary Beach, #5; Perfection, #1) Abbi Glines"
1996,Tom Clancy,"Executive Orders (Jack Ryan Universe, #9)",4.04,https://images.gr-assets.com/books/1419127064m/19675.jpg,"Executive Orders (Jack Ryan Universe, #9) Tom Clancy"
2011,Ann Voskamp,One Thousand Gifts: A Dare to Live Fully Right Where You Are,4.03,https://images.gr-assets.com/books/1393970725m/8592946.jpg,One Thousand Gifts: A Dare to Live Fully Right Where You Are Ann Voskamp
1959,Robert Bloch,Psycho,4.09,https://images.gr-assets.com/books/1393286878m/156427.jpg,Psycho Robert Bloch
1998,Robin Hobb,"Ship of Magic (Liveship Traders, #1)",4.12,https://images.gr-assets.com/books/1360507722m/45100.jpg,"Ship of Magic (Liveship Traders, #1) Robin Hobb"
1967,"Alistair MacLean, Clint Willis",Where Eagles Dare ,4.12,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Where Eagles Dare  Alistair MacLean, Clint Willis"
1990,Maeve Binchy,Circle of Friends,4,https://images.gr-assets.com/books/1342486126m/41977.jpg,Circle of Friends Maeve Binchy
2014,Rupi Kaur,Milk and Honey,4.27,https://images.gr-assets.com/books/1491595510m/23513349.jpg,Milk and Honey Rupi Kaur
1998,Tom Clancy,"Rainbow Six (Jack Ryan Universe, #10)",4.07,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Rainbow Six (Jack Ryan Universe, #10) Tom Clancy"
2006,Neil Gaiman,Fragile Things: Short Fictions and Wonders,4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fragile Things: Short Fictions and Wonders Neil Gaiman
2010,Rosamund Lupton,Sister,3.77,https://images.gr-assets.com/books/1320189763m/8196732.jpg,Sister Rosamund Lupton
2007,"Liu Cixin, Ken Liu","The Three-Body Problem (Remembrance of Earth’s Past, #1)",4,https://images.gr-assets.com/books/1415428227m/20518872.jpg,"The Three-Body Problem (Remembrance of Earth’s Past, #1) Liu Cixin, Ken Liu"
2001,Terry Pratchett,"Thief of Time (Discworld, #26; Death, #5)",4.25,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Thief of Time (Discworld, #26; Death, #5) Terry Pratchett"
2003,"Mark Millar, Kilian Plunkett, Andrew Robinson, Walden Wong, Dave Johnson",Superman: Red Son,4.17,https://images.gr-assets.com/books/1298557533m/154798.jpg,"Superman: Red Son Mark Millar, Kilian Plunkett, Andrew Robinson, Walden Wong, Dave Johnson"
2002,Julia Glass,Three Junes,3.56,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Three Junes Julia Glass
1791,"Benjamin Franklin, Lewis Leary",The Autobiography of Benjamin Franklin,3.83,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Autobiography of Benjamin Franklin Benjamin Franklin, Lewis Leary"
2007,Timothy J. Keller,The Reason for God: Belief in an Age of Skepticism,4.2,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,The Reason for God: Belief in an Age of Skepticism Timothy J. Keller
2012,Mark  Lawrence,"King of Thorns (The Broken Empire, #2)",4.2,https://images.gr-assets.com/books/1322539112m/12891107.jpg,"King of Thorns (The Broken Empire, #2) Mark  Lawrence"
2012,Jeffrey Archer,"The Sins of the Father (The Clifton Chronicles, #2)",4.01,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Sins of the Father (The Clifton Chronicles, #2) Jeffrey Archer"
2000,Meg Cabot,"Shadowland (The Mediator, #1)",4.04,https://images.gr-assets.com/books/1327886166m/187811.jpg,"Shadowland (The Mediator, #1) Meg Cabot"
2009,Sara Shepard,"Killer (Pretty Little Liars, #6)",4.07,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Killer (Pretty Little Liars, #6) Sara Shepard"
2004,"W. Chan Kim, Renée Mauborgne",Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant,3.86,https://images.gr-assets.com/books/1416445924m/4898.jpg,"Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant W. Chan Kim, Renée Mauborgne"
2010,James Patterson,"Fang (Maximum Ride, #6)",4.07,https://images.gr-assets.com/books/1344269411m/6431790.jpg,"Fang (Maximum Ride, #6) James Patterson"
2011,Sarah Addison Allen,The Peach Keeper,3.84,https://images.gr-assets.com/books/1320549305m/8546358.jpg,The Peach Keeper Sarah Addison Allen
1984,"Audrey Wood, Don    Wood",The Napping House,4.27,https://images.gr-assets.com/books/1410229873m/815234.jpg,"The Napping House Audrey Wood, Don    Wood"
2015,Matthew FitzSimmons,"The Short Drop (Gibson Vaughn, #1)",4.15,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Short Drop (Gibson Vaughn, #1) Matthew FitzSimmons"
2007,Christopher Moore,"You Suck (A Love Story, #2)",3.82,https://images.gr-assets.com/books/1331323414m/33453.jpg,"You Suck (A Love Story, #2) Christopher Moore"
2014,Jamie McGuire,"Beautiful Oblivion (The Maddox Brothers, #1)",4.13,https://images.gr-assets.com/books/1398284779m/18104607.jpg,"Beautiful Oblivion (The Maddox Brothers, #1) Jamie McGuire"
1992,Vernor Vinge,"A Fire Upon the Deep (Zones of Thought, #1)",4.13,https://images.gr-assets.com/books/1333915005m/77711.jpg,"A Fire Upon the Deep (Zones of Thought, #1) Vernor Vinge"
1999,Eckhart Tolle,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now",4.25,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now Eckhart Tolle"
1990,Caroline B. Cooney,"The Face on the Milk Carton (Janie Johnson, #1)",3.72,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Face on the Milk Carton (Janie Johnson, #1) Caroline B. Cooney"
1960,Robert Lopshire,Put Me in the Zoo,4.13,https://images.gr-assets.com/books/1327947254m/413158.jpg,Put Me in the Zoo Robert Lopshire
2010,Sophie Jordan,"Firelight (Firelight, #1)",3.88,https://images.gr-assets.com/books/1269737893m/6448470.jpg,"Firelight (Firelight, #1) Sophie Jordan"
1972,"Italo Calvino, William Weaver",Invisible Cities,4.19,https://images.gr-assets.com/books/1468623303m/9809.jpg,"Invisible Cities Italo Calvino, William Weaver"
2011,Jessica Park,"Flat-Out Love (Flat-Out Love, #1)",4.01,https://images.gr-assets.com/books/1333821470m/11096647.jpg,"Flat-Out Love (Flat-Out Love, #1) Jessica Park"
2013,Richard Flanagan,The Narrow Road to the Deep North,4,https://images.gr-assets.com/books/1374734363m/17905709.jpg,The Narrow Road to the Deep North Richard Flanagan
1983,"A.N. Roquelaure, Anne Rice","The Claiming of Sleeping Beauty (Sleeping Beauty, #1)",3.28,https://images.gr-assets.com/books/1340735794m/26582.jpg,"The Claiming of Sleeping Beauty (Sleeping Beauty, #1) A.N. Roquelaure, Anne Rice"
2002,Jennifer Worth,"The Midwife: A Memoir of Birth, Joy, and Hard Times",4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Midwife: A Memoir of Birth, Joy, and Hard Times Jennifer Worth"
1966,Hunter S. Thompson,Hell's Angels: A Strange and Terrible Saga,4,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Hell's Angels: A Strange and Terrible Saga Hunter S. Thompson
2010,Jennifer Weiner,Then Came You,3.69,https://images.gr-assets.com/books/1308787263m/9758764.jpg,Then Came You Jennifer Weiner
1991,L.J. Smith,"The Awakening (The Vampire Diaries, #1)",3.41,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Awakening (The Vampire Diaries, #1) L.J. Smith"
1994,Susan Elizabeth Phillips,"It Had to Be You (Chicago Stars, #1)",4.04,https://images.gr-assets.com/books/1297088239m/73070.jpg,"It Had to Be You (Chicago Stars, #1) Susan Elizabeth Phillips"
2011,Michael   Lewis,Boomerang: Travels in the New Third World,3.87,https://images.gr-assets.com/books/1345046879m/13707738.jpg,Boomerang: Travels in the New Third World Michael   Lewis
2010,Jennifer Weiner,Fly Away Home,3.66,https://images.gr-assets.com/books/1267210300m/7227174.jpg,Fly Away Home Jennifer Weiner
1830,"Stendhal, Roger Gard",The Red and the Black,3.87,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Red and the Black Stendhal, Roger Gard"
2004,Philippa Gregory,"The Virgin's Lover (The Plantagenet and Tudor Novels, #13)",3.69,https://images.gr-assets.com/books/1441424964m/16183.jpg,"The Virgin's Lover (The Plantagenet and Tudor Novels, #13) Philippa Gregory"
2007,Catherine Fisher,"Incarceron (Incarceron, #1)",3.64,https://images.gr-assets.com/books/1327414514m/332775.jpg,"Incarceron (Incarceron, #1) Catherine Fisher"
2011,C.C. Hunter,"Awake at Dawn (Shadow Falls, #2)",4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Awake at Dawn (Shadow Falls, #2) C.C. Hunter"
2004,Bev Vincent,The Road to the Dark Tower: Exploring Stephen King's Magnum Opus,4.29,https://images.gr-assets.com/books/1309204235m/452157.jpg,The Road to the Dark Tower: Exploring Stephen King's Magnum Opus Bev Vincent
2011,Josephine Angelini,"Starcrossed (Starcrossed, #1)",4.08,https://images.gr-assets.com/books/1358266716m/9462795.jpg,"Starcrossed (Starcrossed, #1) Josephine Angelini"
2010,Alyson Noel,"Night Star (The Immortals, #5)",3.82,https://images.gr-assets.com/books/1362336383m/7739934.jpg,"Night Star (The Immortals, #5) Alyson Noel"
1988,N.H. Kleinbaum,Dead Poets Society,4.21,https://images.gr-assets.com/books/1359814692m/67238.jpg,Dead Poets Society N.H. Kleinbaum
2015,Emily Bleeker,Wreckage,3.66,https://images.gr-assets.com/books/1422826024m/23745132.jpg,Wreckage Emily Bleeker
1999,Terry Pratchett,"The Fifth Elephant (Discworld, #24; City Watch, #5)",4.24,https://images.gr-assets.com/books/1327961702m/63720.jpg,"The Fifth Elephant (Discworld, #24; City Watch, #5) Terry Pratchett"
2006,John Flanagan,"The Sorcerer in the North (Ranger's Apprentice, #5)",4.25,https://images.gr-assets.com/books/1327918728m/1524173.jpg,"The Sorcerer in the North (Ranger's Apprentice, #5) John Flanagan"
1946,Paramahansa Yogananda,Autobiography of a Yogi,4.22,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Autobiography of a Yogi Paramahansa Yogananda
2011,Kevin Hearne,"Hexed (The Iron Druid Chronicles, #2)",4.22,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Hexed (The Iron Druid Chronicles, #2) Kevin Hearne"
1981,"Alvin Schwartz, Stephen Gammell","Scary Stories to Tell in the Dark (Scary Stories, #1)",4.05,https://images.gr-assets.com/books/1440189576m/1325218.jpg,"Scary Stories to Tell in the Dark (Scary Stories, #1) Alvin Schwartz, Stephen Gammell"
2016,Harlan Coben,Fool Me Once,3.9,https://images.gr-assets.com/books/1443190440m/26109394.jpg,Fool Me Once Harlan Coben
1946,John Hersey,Hiroshima,3.94,https://images.gr-assets.com/books/1499717742m/27323.jpg,Hiroshima John Hersey
2009,Jennifer Brown,Hate List,4.03,https://images.gr-assets.com/books/1479653095m/6316171.jpg,Hate List Jennifer Brown
2013,Kasie West,The Distance Between Us,3.95,https://images.gr-assets.com/books/1358144875m/15283043.jpg,The Distance Between Us Kasie West
1975,Karen Armstrong,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",3.85,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam Karen Armstrong"
2013,James S.A. Corey,"Abaddon's Gate (The Expanse, #3)",4.18,https://images.gr-assets.com/books/1407572059m/16131032.jpg,"Abaddon's Gate (The Expanse, #3) James S.A. Corey"
1924,"Pablo Neruda, W.S. Merwin, Cristina García",Twenty Love Poems and a Song of Despair,4.33,https://images.gr-assets.com/books/1447622711m/5932.jpg,"Twenty Love Poems and a Song of Despair Pablo Neruda, W.S. Merwin, Cristina García"
1988,Tom Clancy,"The Cardinal of the Kremlin (Jack Ryan Universe, #5)",4.01,https://images.gr-assets.com/books/1319381380m/382549.jpg,"The Cardinal of the Kremlin (Jack Ryan Universe, #5) Tom Clancy"
1998,David Shannon,"No, David!",4.11,https://images.gr-assets.com/books/1360058223m/1062516.jpg,"No, David! David Shannon"
1516,"Thomas More, Paul Turner",Utopia,3.5,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Utopia Thomas More, Paul Turner"
2007,"Pseudonymous Bosch, Gilbert Ford","The Name of This Book Is Secret (Secret, #1)",4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Name of This Book Is Secret (Secret, #1) Pseudonymous Bosch, Gilbert Ford"
2014,Danielle  Paige,"Dorothy Must Die (Dorothy Must Die, #1)",3.84,https://images.gr-assets.com/books/1381437107m/18053060.jpg,"Dorothy Must Die (Dorothy Must Die, #1) Danielle  Paige"
2006,Dean Koontz,The Husband,3.8,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,The Husband Dean Koontz
2010,Aimee Bender,The Particular Sadness of Lemon Cake,3.19,https://images.gr-assets.com/books/1320541766m/7048800.jpg,The Particular Sadness of Lemon Cake Aimee Bender
2003,James Patterson,"The Big Bad Wolf  (Alex Cross, #9)",3.97,https://images.gr-assets.com/books/1388328154m/6588.jpg,"The Big Bad Wolf  (Alex Cross, #9) James Patterson"
2000,"Dai Sijie, Ina Rilke",Balzac and the Little Chinese Seamstress,3.63,https://images.gr-assets.com/books/1403188885m/533465.jpg,"Balzac and the Little Chinese Seamstress Dai Sijie, Ina Rilke"
2014,Roxane Gay,Bad Feminist,3.91,https://images.gr-assets.com/books/1421292744m/18813642.jpg,Bad Feminist Roxane Gay
1980,V.C. Andrews,"Petals on the Wind (Dollanganger, #2)",3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Petals on the Wind (Dollanganger, #2) V.C. Andrews"
1975,"Roald Dahl, Quentin Blake",Danny the Champion of the World,4.07,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Danny the Champion of the World Roald Dahl, Quentin Blake"
2011,Amy Chua,Battle Hymn of the Tiger Mother,3.61,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Battle Hymn of the Tiger Mother Amy Chua
2015,Noelle Stevenson,Nimona,4.2,https://images.gr-assets.com/books/1412626919m/19351043.jpg,Nimona Noelle Stevenson
2005,Giada De Laurentiis,Everyday Italian: 125 Simple and Delicious Recipes,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Everyday Italian: 125 Simple and Delicious Recipes Giada De Laurentiis
1995,Patricia Cornwell,"From Potter's Field (Kay Scarpetta, #6)",4.02,https://images.gr-assets.com/books/1309209800m/6537.jpg,"From Potter's Field (Kay Scarpetta, #6) Patricia Cornwell"
2005,James Patterson,"Mary, Mary (Alex Cross, #11)",3.93,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Mary, Mary (Alex Cross, #11) James Patterson"
1985,Jeanette Winterson,Oranges Are Not the Only Fruit,3.75,https://images.gr-assets.com/books/1267717580m/15055.jpg,Oranges Are Not the Only Fruit Jeanette Winterson
2013,R.K. Lilley,"Grounded (Up in the Air, #3)",4.29,https://images.gr-assets.com/books/1358701028m/16139641.jpg,"Grounded (Up in the Air, #3) R.K. Lilley"
2007,Ravinder Singh,I Too Had a Love Story,3.64,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,I Too Had a Love Story Ravinder Singh
1947,"Betty MacDonald, Alexandra Boiger","Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1) Betty MacDonald, Alexandra Boiger"
1997,Michael Connelly,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",4.15,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6) Michael Connelly"
2014,Dan   Harris,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",3.93,https://images.gr-assets.com/books/1451446393m/18505796.jpg,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works Dan   Harris"
2006,"Ina Garten, Quentin Bacon",Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,4.16,https://images.gr-assets.com/books/1320557161m/120230.jpg,"Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again Ina Garten, Quentin Bacon"
1998,Michael Connelly,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb #1)",4.11,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb #1) Michael Connelly"
1972,Isaac Asimov,The Gods Themselves,4.08,https://images.gr-assets.com/books/1351076141m/41821.jpg,The Gods Themselves Isaac Asimov
2010,Peter Lerangis,"The Viper's Nest (39 Clues, #7)",3.97,https://images.gr-assets.com/books/1357211053m/6393047.jpg,"The Viper's Nest (39 Clues, #7) Peter Lerangis"
1999,Sena Jeter Naslund,"Ahab's Wife, or The Star-Gazer",4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Ahab's Wife, or The Star-Gazer Sena Jeter Naslund"
2004,"CLAMP, Anthony Gerard","Tsubasa: RESERVoir CHRoNiCLE, Vol. 01",4.12,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 01 CLAMP, Anthony Gerard"
2000,Darren Shan,"A Living Nightmare (Cirque Du Freak, #1)",4.07,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"A Living Nightmare (Cirque Du Freak, #1) Darren Shan"
2000,"Alan Moore, Kevin O'Neill","The League of Extraordinary Gentlemen, Vol. 1",3.93,https://images.gr-assets.com/books/1327894724m/297627.jpg,"The League of Extraordinary Gentlemen, Vol. 1 Alan Moore, Kevin O'Neill"
2002,M.T. Anderson,Feed,3.54,https://images.gr-assets.com/books/1327891005m/169756.jpg,Feed M.T. Anderson
